date,order_book_id,symbol,margin,margin_rate,contract_multiplier,last_price,buy_pnl,buy_margin,buy_quantity,buy_avg_open_price,sell_pnl,sell_margin,sell_quantity,sell_avg_open_price
2010-01-04,RB1005,ÂÝÎÆ¸Ö1005,698755.4,0.07,10.0,4579.0,-2495.555,698755.4,218.0,4580.145,-0.0,0.0,0.0,0.0
2010-01-05,RB1005,ÂÝÎÆ¸Ö1005,700281.4,0.07,10.0,4589.0,19304.445,700281.4,218.0,4580.145,-0.0,0.0,0.0,0.0
2010-01-06,RB1005,ÂÝÎÆ¸Ö1005,705317.2,0.07,10.0,4622.0,91244.445,705317.2,218.0,4580.145,-0.0,0.0,0.0,0.0
2010-01-07,RB1005,ÂÝÎÆ¸Ö1005,0.0,0.07,10.0,4489.0,-0.0,0.0,0.0,4580.145,-0.0,0.0,0.0,0.0
2010-01-11,RB1005,ÂÝÎÆ¸Ö1005,682819.2,0.07,10.0,4516.0,-2438.64,682819.2,216.0,4517.129,-0.0,0.0,0.0,0.0
2010-01-12,RB1005,ÂÝÎÆ¸Ö1005,681912.0,0.07,10.0,4510.0,-15398.64,681912.0,216.0,4517.129,-0.0,0.0,0.0,0.0
2010-01-13,RB1005,ÂÝÎÆ¸Ö1005,0.0,0.07,10.0,4418.0,-0.0,0.0,0.0,4517.129,-0.0,0.0,0.0,0.0
2010-01-15,RB1005,ÂÝÎÆ¸Ö1005,669614.4,0.07,10.0,4368.0,0.0,0.0,0.0,0.0,-2391.48,669614.4,219.0,4366.908
2010-01-18,RB1005,ÂÝÎÆ¸Ö1005,673753.5,0.07,10.0,4395.0,0.0,0.0,0.0,0.0,-61521.48,673753.5,219.0,4366.908
2010-01-19,RB1005,ÂÝÎÆ¸Ö1005,671760.6,0.07,10.0,4382.0,0.0,0.0,0.0,0.0,-33051.48,671760.6,219.0,4366.908
2010-01-20,RB1005,ÂÝÎÆ¸Ö1005,669001.2,0.07,10.0,4364.0,0.0,0.0,0.0,0.0,6368.52,669001.2,219.0,4366.908
2010-01-21,RB1005,ÂÝÎÆ¸Ö1005,667161.6,0.07,10.0,4352.0,0.0,0.0,0.0,0.0,32648.52,667161.6,219.0,4366.908
2010-01-22,RB1005,ÂÝÎÆ¸Ö1005,657350.4,0.07,10.0,4288.0,0.0,0.0,0.0,0.0,172808.52,657350.4,219.0,4366.908
2010-01-25,RB1005,ÂÝÎÆ¸Ö1005,655817.4,0.07,10.0,4278.0,0.0,0.0,0.0,0.0,194708.52,655817.4,219.0,4366.908
2010-01-26,RB1005,ÂÝÎÆ¸Ö1005,653824.5,0.07,10.0,4265.0,0.0,0.0,0.0,0.0,223178.52,653824.5,219.0,4366.908
2010-01-27,RB1005,ÂÝÎÆ¸Ö1005,0.0,0.07,10.0,4316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4366.908
2010-01-29,RB1005,ÂÝÎÆ¸Ö1005,677250.0,0.07,10.0,4300.0,0.0,0.0,0.0,0.0,-2418.75,677250.0,225.0,4298.925
2010-02-01,RB1005,ÂÝÎÆ¸Ö1005,676462.5,0.07,10.0,4295.0,0.0,0.0,0.0,0.0,8831.25,676462.5,225.0,4298.925
2010-02-02,RB1005,ÂÝÎÆ¸Ö1005,655042.5,0.07,10.0,4159.0,0.0,0.0,0.0,0.0,314831.25,655042.5,225.0,4298.925
2010-02-03,RB1005,ÂÝÎÆ¸Ö1005,658350.0,0.07,10.0,4180.0,0.0,0.0,0.0,0.0,267581.25,658350.0,225.0,4298.925
2010-02-04,RB1005,ÂÝÎÆ¸Ö1005,648112.5,0.07,10.0,4115.0,0.0,0.0,0.0,0.0,413831.25,648112.5,225.0,4298.925
2010-02-05,RB1005,ÂÝÎÆ¸Ö1005,647167.5,0.07,10.0,4109.0,0.0,0.0,0.0,0.0,427331.25,647167.5,225.0,4298.925
2010-02-08,RB1005,ÂÝÎÆ¸Ö1005,650317.5,0.07,10.0,4129.0,0.0,0.0,0.0,0.0,382331.25,650317.5,225.0,4298.925
2010-02-09,RB1005,ÂÝÎÆ¸Ö1005,654727.5,0.07,10.0,4157.0,0.0,0.0,0.0,0.0,319331.25,654727.5,225.0,4298.925
2010-02-10,RB1005,ÂÝÎÆ¸Ö1005,661185.0,0.07,10.0,4198.0,0.0,0.0,0.0,0.0,227081.25,661185.0,225.0,4298.925
2010-02-11,RB1005,ÂÝÎÆ¸Ö1005,666067.5,0.07,10.0,4229.0,0.0,0.0,0.0,0.0,157331.25,666067.5,225.0,4298.925
2010-02-12,RB1005,ÂÝÎÆ¸Ö1005,0.0,0.07,10.0,4293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4298.925
2010-02-23,RB1005,ÂÝÎÆ¸Ö1005,677570.6,0.07,10.0,4283.0,-2419.895,677570.6,226.0,4284.071,-0.0,0.0,0.0,0.0
2010-02-24,RB1005,ÂÝÎÆ¸Ö1005,672824.6,0.07,10.0,4253.0,-70219.895,672824.6,226.0,4284.071,-0.0,0.0,0.0,0.0
2010-02-25,RB1005,ÂÝÎÆ¸Ö1005,0.0,0.07,10.0,4209.0,-0.0,0.0,0.0,4284.071,-0.0,0.0,0.0,0.0
2010-03-01,RB1005,ÂÝÎÆ¸Ö1005,665863.8,0.07,10.0,4209.0,0.0,0.0,0.0,0.0,-2378.085,665863.8,226.0,4207.948
2010-03-02,RB1005,ÂÝÎÆ¸Ö1005,657321.0,0.07,10.0,4155.0,0.0,0.0,0.0,0.0,119661.915,657321.0,226.0,4207.948
2010-03-03,RB1005,ÂÝÎÆ¸Ö1005,655422.6,0.07,10.0,4143.0,0.0,0.0,0.0,0.0,146781.915,655422.6,226.0,4207.948
2010-03-04,RB1005,ÂÝÎÆ¸Ö1005,655106.2,0.07,10.0,4141.0,0.0,0.0,0.0,0.0,151301.915,655106.2,226.0,4207.948
2010-03-05,RB1005,ÂÝÎÆ¸Ö1005,659377.6,0.07,10.0,4168.0,0.0,0.0,0.0,0.0,90281.915,659377.6,226.0,4207.948
2010-03-08,RB1005,ÂÝÎÆ¸Ö1005,668564.4,0.07,10.0,4189.0,-2387.73,668564.4,228.0,4190.047,0.0,0.0,0.0,4207.948
2010-03-09,RB1005,ÂÝÎÆ¸Ö1005,0.0,0.07,10.0,4195.0,0.0,0.0,0.0,4190.047,0.0,0.0,0.0,4207.948
2010-03-09,RB1010,ÂÝÎÆ¸Ö1010,739905.6,0.07,10.0,4636.0,-2642.52,739905.6,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-10,RB1010,ÂÝÎÆ¸Ö1010,741980.4,0.07,10.0,4649.0,26997.48,741980.4,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-11,RB1010,ÂÝÎÆ¸Ö1010,742459.2,0.07,10.0,4652.0,33837.48,742459.2,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-12,RB1010,ÂÝÎÆ¸Ö1010,743416.8,0.07,10.0,4658.0,47517.48,743416.8,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-15,RB1010,ÂÝÎÆ¸Ö1010,743736.0,0.07,10.0,4660.0,52077.48,743736.0,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-16,RB1010,ÂÝÎÆ¸Ö1010,762888.0,0.07,10.0,4780.0,325677.48,762888.0,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-17,RB1010,ÂÝÎÆ¸Ö1010,760174.8,0.07,10.0,4763.0,286917.48,760174.8,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-18,RB1010,ÂÝÎÆ¸Ö1010,755386.8,0.07,10.0,4733.0,218517.48,755386.8,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-19,RB1010,ÂÝÎÆ¸Ö1010,759217.2,0.07,10.0,4757.0,273237.48,759217.2,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-22,RB1010,ÂÝÎÆ¸Ö1010,760972.8,0.07,10.0,4768.0,298317.48,760972.8,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-23,RB1010,ÂÝÎÆ¸Ö1010,756823.2,0.07,10.0,4742.0,239037.48,756823.2,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-24,RB1010,ÂÝÎÆ¸Ö1010,762568.8,0.07,10.0,4778.0,321117.48,762568.8,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-25,RB1010,ÂÝÎÆ¸Ö1010,765441.6,0.07,10.0,4796.0,362157.48,765441.6,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-26,RB1010,ÂÝÎÆ¸Ö1010,764962.8,0.07,10.0,4793.0,355317.48,764962.8,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-29,RB1010,ÂÝÎÆ¸Ö1010,767676.0,0.07,10.0,4810.0,394077.48,767676.0,228.0,4637.159,-0.0,0.0,0.0,0.0
2010-03-30,RB1010,ÂÝÎÆ¸Ö1010,0.0,0.07,10.0,4761.0,0.0,0.0,0.0,4637.159,-0.0,0.0,0.0,0.0
2010-04-01,RB1010,ÂÝÎÆ¸Ö1010,688709.7,0.07,10.0,4753.0,-2459.678,688709.7,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-02,RB1010,ÂÝÎÆ¸Ö1010,693491.4,0.07,10.0,4786.0,65850.322,693491.4,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-06,RB1010,ÂÝÎÆ¸Ö1010,698997.6,0.07,10.0,4824.0,144510.322,698997.6,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-07,RB1010,ÂÝÎÆ¸Ö1010,702185.4,0.07,10.0,4846.0,190050.322,702185.4,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-08,RB1010,ÂÝÎÆ¸Ö1010,696969.0,0.07,10.0,4810.0,115530.322,696969.0,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-09,RB1010,ÂÝÎÆ¸Ö1010,702475.2,0.07,10.0,4848.0,194190.322,702475.2,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-12,RB1010,ÂÝÎÆ¸Ö1010,705952.8,0.07,10.0,4872.0,243870.322,705952.8,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-13,RB1010,ÂÝÎÆ¸Ö1010,707256.9,0.07,10.0,4881.0,262500.322,707256.9,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-14,RB1010,ÂÝÎÆ¸Ö1010,703344.6,0.07,10.0,4854.0,206610.322,703344.6,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-15,RB1010,ÂÝÎÆ¸Ö1010,698273.1,0.07,10.0,4819.0,134160.322,698273.1,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-16,RB1010,ÂÝÎÆ¸Ö1010,701026.2,0.07,10.0,4838.0,173490.322,701026.2,207.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-19,RB1010,ÂÝÎÆ¸Ö1010,0.0,0.07,10.0,4752.0,-0.0,0.0,0.0,4754.188,-0.0,0.0,0.0,0.0
2010-04-21,RB1010,ÂÝÎÆ¸Ö1010,686247.8,0.07,10.0,4759.0,0.0,0.0,0.0,0.0,-2450.885,686247.8,206.0,4757.81
2010-04-22,RB1010,ÂÝÎÆ¸Ö1010,682642.8,0.07,10.0,4734.0,0.0,0.0,0.0,0.0,49049.115,682642.8,206.0,4757.81
2010-04-23,RB1010,ÂÝÎÆ¸Ö1010,683508.0,0.07,10.0,4740.0,0.0,0.0,0.0,0.0,36689.115,683508.0,206.0,4757.81
2010-04-26,RB1010,ÂÝÎÆ¸Ö1010,682642.8,0.07,10.0,4734.0,0.0,0.0,0.0,0.0,49049.115,682642.8,206.0,4757.81
2010-04-27,RB1010,ÂÝÎÆ¸Ö1010,674567.6,0.07,10.0,4678.0,0.0,0.0,0.0,0.0,164409.115,674567.6,206.0,4757.81
2010-04-28,RB1010,ÂÝÎÆ¸Ö1010,661589.6,0.07,10.0,4588.0,0.0,0.0,0.0,0.0,349809.115,661589.6,206.0,4757.81
2010-04-29,RB1010,ÂÝÎÆ¸Ö1010,660868.6,0.07,10.0,4583.0,0.0,0.0,0.0,0.0,360109.115,660868.6,206.0,4757.81
2010-04-30,RB1010,ÂÝÎÆ¸Ö1010,0.0,0.07,10.0,4635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4757.81
2010-05-05,RB1010,ÂÝÎÆ¸Ö1010,703533.6,0.07,10.0,4653.0,0.0,0.0,0.0,0.0,-2512.62,703533.6,216.0,4651.837
2010-05-06,RB1010,ÂÝÎÆ¸Ö1010,701114.4,0.07,10.0,4637.0,0.0,0.0,0.0,0.0,32047.38,701114.4,216.0,4651.837
2010-05-07,RB1010,ÂÝÎÆ¸Ö1010,687204.0,0.07,10.0,4545.0,0.0,0.0,0.0,0.0,230767.38,687204.0,216.0,4651.837
2010-05-10,RB1010,ÂÝÎÆ¸Ö1010,685540.8,0.07,10.0,4534.0,0.0,0.0,0.0,0.0,254527.38,685540.8,216.0,4651.837
2010-05-11,RB1010,ÂÝÎÆ¸Ö1010,677224.8,0.07,10.0,4479.0,0.0,0.0,0.0,0.0,373327.38,677224.8,216.0,4651.837
2010-05-12,RB1010,ÂÝÎÆ¸Ö1010,666187.2,0.07,10.0,4406.0,0.0,0.0,0.0,0.0,531007.38,666187.2,216.0,4651.837
2010-05-13,RB1010,ÂÝÎÆ¸Ö1010,665280.0,0.07,10.0,4400.0,0.0,0.0,0.0,0.0,543967.38,665280.0,216.0,4651.837
2010-05-14,RB1010,ÂÝÎÆ¸Ö1010,660290.4,0.07,10.0,4367.0,0.0,0.0,0.0,0.0,615247.38,660290.4,216.0,4651.837
2010-05-17,RB1010,ÂÝÎÆ¸Ö1010,632923.2,0.07,10.0,4186.0,0.0,0.0,0.0,0.0,1006207.38,632923.2,216.0,4651.837
2010-05-18,RB1010,ÂÝÎÆ¸Ö1010,636400.8,0.07,10.0,4209.0,0.0,0.0,0.0,0.0,956527.38,636400.8,216.0,4651.837
2010-05-19,RB1010,ÂÝÎÆ¸Ö1010,638517.6,0.07,10.0,4223.0,0.0,0.0,0.0,0.0,926287.38,638517.6,216.0,4651.837
2010-05-20,RB1010,ÂÝÎÆ¸Ö1010,642751.2,0.07,10.0,4251.0,0.0,0.0,0.0,0.0,865807.38,642751.2,216.0,4651.837
2010-05-21,RB1010,ÂÝÎÆ¸Ö1010,639273.6,0.07,10.0,4228.0,0.0,0.0,0.0,0.0,915487.38,639273.6,216.0,4651.837
2010-05-24,RB1010,ÂÝÎÆ¸Ö1010,0.0,0.07,10.0,4318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4651.837
2010-05-26,RB1010,ÂÝÎÆ¸Ö1010,753580.8,0.07,10.0,4272.0,0.0,0.0,0.0,0.0,-2691.36,753580.8,252.0,4270.932
2010-05-27,RB1010,ÂÝÎÆ¸Ö1010,753228.0,0.07,10.0,4270.0,0.0,0.0,0.0,0.0,2348.64,753228.0,252.0,4270.932
2010-05-28,RB1010,ÂÝÎÆ¸Ö1010,750758.4,0.07,10.0,4256.0,0.0,0.0,0.0,0.0,37628.64,750758.4,252.0,4270.932
2010-05-31,RB1010,ÂÝÎÆ¸Ö1010,743526.0,0.07,10.0,4215.0,0.0,0.0,0.0,0.0,140948.64,743526.0,252.0,4270.932
2010-06-01,RB1010,ÂÝÎÆ¸Ö1010,736999.2,0.07,10.0,4178.0,0.0,0.0,0.0,0.0,234188.64,736999.2,252.0,4270.932
2010-06-02,RB1010,ÂÝÎÆ¸Ö1010,738234.0,0.07,10.0,4185.0,0.0,0.0,0.0,0.0,216548.64,738234.0,252.0,4270.932
2010-06-03,RB1010,ÂÝÎÆ¸Ö1010,740880.0,0.07,10.0,4200.0,0.0,0.0,0.0,0.0,178748.64,740880.0,252.0,4270.932
2010-06-04,RB1010,ÂÝÎÆ¸Ö1010,737352.0,0.07,10.0,4180.0,0.0,0.0,0.0,0.0,229148.64,737352.0,252.0,4270.932
2010-06-07,RB1010,ÂÝÎÆ¸Ö1010,709304.4,0.07,10.0,4021.0,0.0,0.0,0.0,0.0,629828.64,709304.4,252.0,4270.932
2010-06-08,RB1010,ÂÝÎÆ¸Ö1010,716360.4,0.07,10.0,4061.0,0.0,0.0,0.0,0.0,529028.64,716360.4,252.0,4270.932
2010-06-09,RB1010,ÂÝÎÆ¸Ö1010,0.0,0.07,10.0,4103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270.932
2010-06-11,RB1010,ÂÝÎÆ¸Ö1010,782734.4,0.07,10.0,4111.0,0.0,0.0,0.0,0.0,-2795.48,782734.4,272.0,4109.972
2010-06-17,RB1010,ÂÝÎÆ¸Ö1010,782924.8,0.07,10.0,4112.0,0.0,0.0,0.0,0.0,-5515.48,782924.8,272.0,4109.972
2010-06-18,RB1010,ÂÝÎÆ¸Ö1010,778355.2,0.07,10.0,4088.0,0.0,0.0,0.0,0.0,59764.52,778355.2,272.0,4109.972
2010-06-21,RB1010,ÂÝÎÆ¸Ö1010,0.0,0.07,10.0,4163.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4109.972
2010-06-23,RB1010,ÂÝÎÆ¸Ö1010,773976.0,0.07,10.0,4080.0,0.0,0.0,0.0,0.0,-2764.2,773976.0,271.0,4078.98
2010-06-24,RB1010,ÂÝÎÆ¸Ö1010,777959.7,0.07,10.0,4101.0,0.0,0.0,0.0,0.0,-59674.2,777959.7,271.0,4078.98
2010-06-25,RB1010,ÂÝÎÆ¸Ö1010,774734.8,0.07,10.0,4084.0,0.0,0.0,0.0,0.0,-13604.2,774734.8,271.0,4078.98
2010-06-28,RB1010,ÂÝÎÆ¸Ö1010,766198.3,0.07,10.0,4039.0,0.0,0.0,0.0,0.0,108345.8,766198.3,271.0,4078.98
2010-06-29,RB1010,ÂÝÎÆ¸Ö1010,757661.8,0.07,10.0,3994.0,0.0,0.0,0.0,0.0,230295.8,757661.8,271.0,4078.98
2010-06-30,RB1010,ÂÝÎÆ¸Ö1010,755954.5,0.07,10.0,3985.0,0.0,0.0,0.0,0.0,254685.8,755954.5,271.0,4078.98
2010-07-01,RB1010,ÂÝÎÆ¸Ö1010,751212.0,0.07,10.0,3960.0,0.0,0.0,0.0,0.0,322435.8,751212.0,271.0,4078.98
2010-07-02,RB1010,ÂÝÎÆ¸Ö1010,754057.5,0.07,10.0,3975.0,0.0,0.0,0.0,0.0,281785.8,754057.5,271.0,4078.98
2010-07-05,RB1010,ÂÝÎÆ¸Ö1010,756713.3,0.07,10.0,3989.0,0.0,0.0,0.0,0.0,243845.8,756713.3,271.0,4078.98
2010-07-06,RB1010,ÂÝÎÆ¸Ö1010,751970.8,0.07,10.0,3964.0,0.0,0.0,0.0,0.0,311595.8,751970.8,271.0,4078.98
